"Data set title: Christopher B. Craft. 2017. Dendrometer band measurement data from two tidal forest plots at GCE 11 on the Altamaha River in Southeast Georgia from December 2014 to December 2016. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCED-1711; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=PLT-GCED-1711)",,,,,,,
,,,,,,,,
"Year","Month","Site_Code","Tag","Tree_Species","Diameter_Breast_Height","BandMeasure_Increase","Notes"
"YYYY","M","none","none","none","centimeters","centimeters","none"
"datetime","datetime","nominal","nominal","code","data","data","text"
2014,12,"GCE11",1,"NyAq",41,0.0,""
2014,12,"GCE11",2,"NyAq",16,0.0,""
2014,12,"GCE11",3,"FrPe",44,0.0,""
2014,12,"GCE11",4,"NyAq",37,0.0,""
2014,12,"GCE11",5,"NyBi",15,0.0,""
2014,12,"GCE11",6,"NyAq",56,0.0,""
2014,12,"GCE11",7,"NyAq",36,0.0,""
2014,12,"GCE11",8,"TaDi",38,0.0,""
2014,12,"GCE11",9,"AcRu",18,0.0,""
2014,12,"GCE11",10,"LiSt",15,0.0,""
2014,12,"GCE11",11,"TaDi",43,0.0,""
2014,12,"GCE11",12,"NyAq",22,0.0,""
2014,12,"GCE11",13,"NyBi",19,0.0,""
2014,12,"GCE11",14,"NyAq",27,0.0,""
2014,12,"GCE11",15,"NyAq",31,0.0,""
2014,12,"GCE11",16,"TaDi",38,0.0,""
2014,12,"GCE11",17,"NyAq",34,0.0,""
2014,12,"GCE11",18,"NyAq",26,0.0,""
2014,12,"GCE11",19,"AcRu",34,0.0,""
2014,12,"GCE11",20,"NyAq",24,0.0,""
2014,12,"GCE11",21,"NyAq",18,0.0,""
2014,12,"GCE11",22,"NyAq",20,0.0,""
2014,12,"GCE11",23,"NyAq",24,0.0,""
2014,12,"GCE11",24,"AcRu",11,0.0,""
2014,12,"GCE11",25,"NyAq",35,0.0,""
2014,12,"GCE11",26,"TaDi",49,0.0,""
2014,12,"GCE11",27,"NyAq",35,0.0,""
2014,12,"GCE11",28,"NyAq",32,0.0,""
