quadid,sentinelsite,tier3site,subsite,cellid,latitude,longitude,plot,plotsize,sampledate,samplemonth,sampleyear,biomass_gm,waterdepth,thatchheight,thatchdensity,pclive,pcdead,pcsoil,pclitter,pcaqveg,pcwater,sp1,pc_sp1,sp2,pc_sp2,sp3,pc_sp3,bioCOUNT,gps_accuracy,biotypha_gm2,bioscac_gm2,totalbiomass_gm2,salinity,distance,pc_wrack,herbbio,deadherbbio,phaubio,deadphaubio,ivfrbio,deadivfrbio,biomassstd_gm2,culmdensity_m2,culmdensitystd_m2
1-2,CapeCod,Sage,.,37232,41.55339,-70.50619,NA,0.25,8/11/15,8,2015,274.32,0,2,medium,94,3,1,NA,0,0,Juncus gerradii,55,Distichlis spicata,55,Symphyotrichum tenuifolium,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-1,CapeCod,Sage,.,37232,41.55338,-70.506,NA,0.25,8/11/15,8,2015,262.32,0,4,medium,94,15,1,NA,0,0,Juncus gerradii,94,Distichlis spicata,25,Iva fructescens,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-3,CapeCod,Sage,.,37232,41.55326,-70.5061,NA,0.25,8/11/15,8,2015,203.68,0,2,medium,94,7,1,NA,0,0,Juncus gerradii,38,Distichlis spicata,76,Spartina alterniflora,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-3,CapeCod,Sage,.,38661,41.55352,-70.5061,NA,0.25,8/11/15,8,2015,206.8,0.5,7,medium-high,94,7,1,NA,0,0,Distichlis spicata,94,Juncus gerarrdii,25,Symphyotrichum tenuifolium,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-1,CapeCod,Sage,.,38661,41.55369,-70.50622,NA,0.25,8/11/15,8,2015,232.52,2,3,medium,76,7,15,NA,0,0,Spartina alterniflora,94,Salicornia europaea,1,n/a,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-2,CapeCod,Sage,.,38661,41.55361,-70.506,NA,0.25,8/11/15,8,2015,210.36,0,3,medium,94,3,1,NA,0,0,Distichlis spicata,76,Juncus gerarrdii,55,Symphyotrichum tenuifolium,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-3,CapeCod,Sage,.,41520,41.55422,-70.50567,NA,0.25,8/13/15,8,2015,144.64,0,1,low,76,25,3,NA,0,0,Distichlis spicata,38,Juncus gerarrdii,25,Plantago maritima,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-1,CapeCod,Sage,.,41520,41.55408,-70.50569,NA,0.25,8/13/15,8,2015,357.64,0.5,2,low,55,38,7,NA,0,0,Distichlis spicata,76,Salicornia europaea,3,Juncus gerarrdii,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-2,CapeCod,Sage,.,41520,41.55414,-70.50583,NA,0.25,8/13/15,8,2015,214.2,0.5,3,medium,76,15,3,NA,0,0,Distichlis spicata,55,Juncus gerarrdii,38,Symphyotrichum tenuifolium,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-3,CapeCod,Sage,.,44377,41.55471,-70.50622,NA,0.25,8/13/15,8,2015,236.48,2,3,low,76,3,15,NA,0,0,Spartina alterniflora,94,Salicornia europaea,7,Distichlis spicata,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-1,CapeCod,Sage,.,44377,41.55462,-70.5061,NA,0.25,8/13/15,8,2015,248.88,2,3,low,55,7,25,NA,0,0,Spartina alterniflora,94,Salicornia europaea,3,Distichlis spicata,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-2,CapeCod,Sage,.,44377,41.55474,-70.50603,NA,0.25,8/13/15,8,2015,248.24,0.5,4,high,55,55,0,NA,0,0,Distichlis spicata,76,Juncus gerarrdii,55,Salicornia europaea,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-3,CapeCod,Sage,.,47233,41.55527,-70.5069,NA,0.25,8/13/15,8,2015,258.64,0.5,3,medium,94,3,7,NA,0,0,Spartina alterniflora,100,n/a,0,n/a,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
