region,biome,plot_name,plot_type,plot_shape,baf,plot_area,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,error1,error2,error3,error4,date,collected_by,digitized_by,notes
north_america,mangrove,Flamingo1_100,v,NA,5,NA,25.444025,-81.146302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo1_250,v,NA,5,NA,25.443212,-81.144812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo1_400,v,NA,5,NA,25.44267,-81.14362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo1_500,v,NA,5,NA,25.442128,-81.142726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo1_600,v,NA,5,NA,25.441857,-81.141832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo1_700,v,NA,5,NA,25.441315,-81.140938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo2_100,v,NA,5,NA,25.425326,-81.114118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo2_250,v,NA,5,NA,25.424784,-81.112926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo2_550,v,NA,5,NA,25.423971,-81.11084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo2_650,v,NA,5,NA,25.423429,-81.10935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo2_950,v,NA,5,NA,25.422345,-81.106668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo5B_33,v,NA,5,NA,25.360015,-81.07806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo5B_133,v,NA,5,NA,25.360015,-81.078954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo5B_233,v,NA,5,NA,25.359744,-81.079848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo5B_333,v,NA,5,NA,25.359473,-81.080742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo5B_433,v,NA,5,NA,25.359473,-81.081934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo5B_633,v,NA,5,NA,25.359202,-81.083722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
north_america,mangrove,Flamingo5B_733,v,NA,5,NA,25.358931,-81.084616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/04,m simard,jm corcoran,NA
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
