site_id,plot_id,plot_notes,plot_area_m2,tree_id,species_code,tree_height,dbh,d30,crown_width,notes
MC-05,A,mature,2.25,1,LR,4.2,3.6,NA,1,plot 7; C7 on gps
MC-05,A,mature,2.25,2,LR,3.2,2.1,NA,0.4,plot 7; C7 on gps
MC-05,A,mature,2.25,3,LR,1.45,1.1,NA,0.15,plot 7; C7 on gps
MC-05,A,mature,2.25,4,LR,1.7,1.8,NA,0.2,plot 7; C7 on gps
MC-05,A,mature,2.25,5,LR,3.6,2.8,NA,1,plot 7; C7 on gps
MC-05,A,mature,2.25,6,AG,3.8,3.6,NA,2,plot 7; C7 on gps
MC-05,A,mature,2.25,7,LR,3.5,2.9,NA,0.75,plot 7; C7 on gps
MC-05,A,mature,2.25,8,AG,2.7,3.2,NA,3,plot 7; C7 on gps
MC-05,A,mature,2.25,9,LR,3.9,2.5,NA,0.75,plot 7; C7 on gps
MC-05,A,mature,2.25,10,LR,2,0.5,NA,1,plot 7; C7 on gps
MC-05,A,mature,2.25,11,LR,3.9,3.4,NA,0.5,plot 7; C7 on gps
MC-05,A,mature,2.25,12,LR,1.8,1.2,NA,0.4,plot 7; C7 on gps
MC-05,A,mature,2.25,13,LR,2.5,3,NA,0.6,plot 7; C7 on gps
MC-05,A,mature,2.25,14,LR,4.1,3.2,NA,1,plot 7; C7 on gps
MC-05,B,mature,2.25,1,LR,3.2,3.4,NA,0.75,plot 8
MC-05,B,mature,2.25,2,LR,2.6,2.7,NA,0.75,plot 8
MC-05,B,mature,2.25,3,LR,3,2.8,NA,0.5,plot 8
MC-05,B,mature,2.25,4,LR,2,1.7,NA,0.4,plot 8
MC-05,B,mature,2.25,5,LR,3.2,3,NA,0.7,plot 8
MC-05,B,mature,2.25,6,LR,3,2.2,NA,1,plot 8
MC-05,B,mature,2.25,7,LR,2.2,1.3,NA,1.1,plot 8
MC-05,B,mature,2.25,8,LR,3.2,1.7,NA,0.6,plot 8
MC-05,B,mature,2.25,9,LR,2.8,1.6,NA,0.5,plot 8
MC-05,B,mature,2.25,10,LR,2.6,2.2,NA,0.6,plot 8
MC-05,B,mature,2.25,11,LR,3,2.8,NA,0.6,plot 8
MC-05,B,mature,2.25,12,AG,3.5,2.3,NA,2.5,plot 8; heather's roots
MC-05,B,mature,2.25,13,LR,2.3,1.9,NA,0.6,plot 8
MC-05,B,mature,2.25,14,LR,3.7,4,NA,1.4,plot 8
MC-05,B,mature,2.25,15,LR,3.9,3.8,NA,1.5,plot 8
MC-05,C,mature,2.25,1,LR,1.3,1.4,NA,0.5,plot 9 
MC-05,C,mature,2.25,2,LR,2.2,2.1,NA,0.75,plot 9 
MC-05,C,mature,2.25,3,LR,1.9,2.6,NA,0.5,plot 9 
MC-05,C,mature,2.25,4,LR,3.2,2.7,NA,0.9,plot 9 
MC-05,C,mature,2.25,5,LR,2.7,2.6,NA,0.5,plot 9 
MC-05,C,mature,2.25,6,LR,2.6,3.1,NA,0.5,plot 9 
MC-05,C,mature,2.25,7,LR,2.2,2.3,NA,0.7,plot 9 
MC-05,C,mature,2.25,8,LR,2,3.2,NA,0.9,plot 9 
MC-08,A,mature,2.25,1,AG,1,0.5,NA,NA,plot 12; measured only in 1.5x1.5
MC-08,A,mature,2.25,2,AG,2,1.3,NA,NA,plot 12; measured only in 1.5x1.5
MC-08,A,mature,2.25,3,AG,2.6,1.1,NA,NA,plot 12; measured only in 1.5x1.5
MC-08,A,mature,2.25,4,AG,1.9,1.1,NA,NA,plot 12; measured only in 1.5x1.5
MC-08,A,mature,2.25,5,AG,4.7,9.7,NA,NA,plot 12; measured only in 1.5x1.5
MC-08,A,mature,2.25,6,AG,4.5,7.5,NA,NA,plot 12; measured only in 1.5x1.5
MC-08,B,mature,2.25,1,AG,5,3.4,NA,NA,plot 11; measured only in 1.5x1.5
MC-08,B,mature,2.25,2,AG,5.3,4.5,NA,NA,plot 11; measured only in 1.5x1.6
MC-08,B,mature,2.25,3,AG,5,5,NA,NA,plot 11; measured only in 1.5x1.7
MC-08,C,mature,2.25,1,AG,2.8,4.2,NA,NA,plot 10; measured only in 1.5x1.5
MC-08,C,mature,2.25,2,AG,3,2.9,NA,NA,plot 10; measured only in 1.5x1.5
MC-08,C,mature,2.25,3,AG,3.9,2.7,NA,NA,plot 10; measured only in 1.5x1.5
MC-08,C,mature,2.25,4,AG,4.2,5.7,NA,NA,plot 10; measured only in 1.5x1.5
MC-10,A,mature,9,1,RM,3.49,4.4,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,2,LR,1.82,3.4,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,3,RM,3.7,5.2,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,4,RM,2.3,2.8,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,5,RM,2.7,5.7,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,6,LR,2.5,2.9,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,7,RM,3.55,6.2,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,8,LR,2.9,2.2,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,9,RM,3,5.9,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,10,RM,3.6,4.3,NA,NA,plot 19; gps 069; measured all in 3x3
