class_2006,abbrev_2006,class_2010,abbrev_2010,class,abbrev,variableType,mappedPixelCount,mappedPixelCountSD,estimated_pixel_count,total_gCO2perM2,soil_gCO2perM2,biomass_gCO2perM2,methane_gCO2perM2,analysis_type
High Intensity Developed,HID,Estuarine Forested Wetland,EFW,High Intensity Developed to Estuarine Forested Wetland,HID_EFW,fixed,3,NA,3.8877607753180463,39144.701322357985,991.5759588680248,38878.75181500803,-725.6264515180633,GWP
High Intensity Developed,HID,Estuarine Scrub/Shrub Wetland,ESS,High Intensity Developed to Estuarine Scrub/Shrub Wetland,HID_ESS,fixed,1,NA,1.1164851457323621,3922.147133393955,991.5759588680248,3656.197626043993,-725.6264515180633,GWP
High Intensity Developed,HID,Estuarine Emergent Wetland,EEM,High Intensity Developed to Estuarine Emergent Wetland,HID_EEM,fixed,363,NA,482.4447350014061,843.1048534536626,991.5759588680248,577.155346103701,-725.6264515180633,GWP
Medium Intensity Developed,MID,Estuarine Forested Wetland,EFW,Medium Intensity Developed to Estuarine Forested Wetland,MID_EFW,fixed,1,NA,1.2959202584393488,39144.701322357985,991.5759588680248,38878.75181500803,-725.6264515180633,GWP
Medium Intensity Developed,MID,Estuarine Scrub/Shrub Wetland,ESS,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,MID_ESS,fixed,3,NA,3.3494554371970864,3922.147133393955,991.5759588680248,3656.197626043993,-725.6264515180633,GWP
Medium Intensity Developed,MID,Estuarine Emergent Wetland,EEM,Medium Intensity Developed to Estuarine Emergent Wetland,MID_EEM,fixed,529,NA,703.0668452224348,843.1048534536626,991.5759588680248,577.155346103701,-725.6264515180633,GWP
Low Intensity Developed,LID,Estuarine Forested Wetland,EFW,Low Intensity Developed to Estuarine Forested Wetland,LID_EFW,fixed,5,NA,6.479601292196745,39144.701322357985,991.5759588680248,38878.75181500803,-725.6264515180633,GWP
Low Intensity Developed,LID,Estuarine Scrub/Shrub Wetland,ESS,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,LID_ESS,fixed,21,NA,23.446188060379605,3922.147133393955,991.5759588680248,3656.197626043993,-725.6264515180633,GWP
Low Intensity Developed,LID,Estuarine Emergent Wetland,EEM,Low Intensity Developed to Estuarine Emergent Wetland,LID_EEM,fixed,979,NA,1301.138830761368,843.1048534536626,991.5759588680248,577.155346103701,-725.6264515180633,GWP
Developed Open Space,OSD,Estuarine Forested Wetland,EFW,Developed Open Space to Estuarine Forested Wetland,OSD_EFW,fixed,5,NA,6.479601292196745,39144.701322357985,991.5759588680248,38878.75181500803,-725.6264515180633,GWP
